order_date;product;units_ordered;festivo;weight
2008-01-01;baguette;86.0;0.0;0.0
2008-01-01;croissant petit;178.0;0.0;0.0
2008-01-01;croissant simple;137.0;0.0;0.0
2008-01-01;milhojas frambuesa;12.0;0.0;0.0
2008-01-01;mousse tres chocolates;2.0;0.0;0.0
2008-01-01;palmera chocolate;46.0;0.0;0.0
2008-01-01;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-01;tarta de manzana;0.0;0.0;0.0
2008-01-01;tarta opera;0.0;0.0;0.0
2008-01-01;tortel;256.0;0.0;0.0
2008-01-02;baguette;0.0;0.0;0.0
2008-01-02;croissant petit;0.0;0.0;0.0
2008-01-02;croissant simple;0.0;0.0;0.0
2008-01-02;milhojas frambuesa;0.0;0.0;0.0
2008-01-02;mousse tres chocolates;0.0;0.0;0.0
2008-01-02;palmera chocolate;0.0;0.0;0.0
2008-01-02;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-02;tarta de manzana;0.0;0.0;0.0
2008-01-02;tarta opera;0.0;0.0;0.0
2008-01-02;tortel;0.0;0.0;0.0
2008-01-03;baguette;61.0;0.0;0.0
2008-01-03;croissant petit;78.0;0.0;0.0
2008-01-03;croissant simple;89.0;0.0;0.0
2008-01-03;milhojas frambuesa;10.0;0.0;0.0
2008-01-03;mousse tres chocolates;0.0;0.0;0.0
2008-01-03;palmera chocolate;36.0;0.0;0.0
2008-01-03;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-03;tarta de manzana;0.0;0.0;0.0
2008-01-03;tarta opera;0.0;0.0;0.0
2008-01-03;tortel;232.0;0.0;0.0
2008-01-04;baguette;119.0;0.0;0.0
2008-01-04;croissant petit;56.0;0.0;0.0
2008-01-04;croissant simple;55.0;0.0;0.0
2008-01-04;milhojas frambuesa;10.0;0.0;0.0
2008-01-04;mousse tres chocolates;0.0;0.0;0.0
2008-01-04;palmera chocolate;49.0;0.0;0.0
2008-01-04;postre de fresas y mascarpone;0.0;0.0;0.0
2008-01-04;tarta de manzana;0.0;0.0;0.0
